close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12656,1/1/2013 9:15,NFO,31-Jan-13,12678.7,12627,12627,1024850,Futures,CNXBAN,25525
12641,1/1/2013 9:16,NFO,31-Jan-13,12656.85,12636.55,12656.85,1028600,Futures,CNXBAN,13825
12658,1/1/2013 9:17,NFO,31-Jan-13,12658,12639.9,12640.4,1028600,Futures,CNXBAN,11650
12655,1/1/2013 9:18,NFO,31-Jan-13,12659.9,12651.5,12658,1028600,Futures,CNXBAN,12750
12651,1/1/2013 9:19,NFO,31-Jan-13,12655,12650,12655,1029875,Futures,CNXBAN,5750
12646.75,1/1/2013 9:20,NFO,31-Jan-13,12651.25,12645.55,12651,1029875,Futures,CNXBAN,4675
12651.25,1/1/2013 9:21,NFO,31-Jan-13,12651.8,12646.25,12646.75,1029875,Futures,CNXBAN,6650
12657,1/1/2013 9:22,NFO,31-Jan-13,12659,12651.25,12651.25,1029875,Futures,CNXBAN,2825
12663.75,1/1/2013 9:23,NFO,31-Jan-13,12664.7,12656,12656.1,1034400,Futures,CNXBAN,5475
12663.45,1/1/2013 9:24,NFO,31-Jan-13,12665.7,12660,12663.75,1034400,Futures,CNXBAN,8300
12669,1/1/2013 9:25,NFO,31-Jan-13,12669.4,12660,12663.45,1039600,Futures,CNXBAN,6675
12671,1/1/2013 9:26,NFO,31-Jan-13,12674,12668,12668,1039600,Futures,CNXBAN,10150
12685,1/1/2013 9:27,NFO,31-Jan-13,12688.9,12670,12671,1039600,Futures,CNXBAN,16275
12690,1/1/2013 9:28,NFO,31-Jan-13,12690.95,12678.05,12685,1039600,Futures,CNXBAN,17150
12690.55,1/1/2013 9:29,NFO,31-Jan-13,12692,12685,12690,1056825,Futures,CNXBAN,11025
12695,1/1/2013 9:30,NFO,31-Jan-13,12699,12692,12692,1056825,Futures,CNXBAN,13350
12697,1/1/2013 9:31,NFO,31-Jan-13,12698.5,12690,12693.95,1068150,Futures,CNXBAN,7000
12704.25,1/1/2013 9:32,NFO,31-Jan-13,12705,12693,12696,1068150,Futures,CNXBAN,20650
12691,1/1/2013 9:33,NFO,31-Jan-13,12703.8,12691,12703.8,1068150,Futures,CNXBAN,9325
12690,1/1/2013 9:34,NFO,31-Jan-13,12696.95,12689.45,12691,1068150,Futures,CNXBAN,4075
12687.35,1/1/2013 9:35,NFO,31-Jan-13,12690,12686.65,12690,1078250,Futures,CNXBAN,2125
12689.8,1/1/2013 9:36,NFO,31-Jan-13,12690,12683.5,12687.35,1078250,Futures,CNXBAN,6425
12685.05,1/1/2013 9:37,NFO,31-Jan-13,12690,12685,12689.8,1079750,Futures,CNXBAN,1425
12685,1/1/2013 9:38,NFO,31-Jan-13,12687,12683.05,12685.05,1079750,Futures,CNXBAN,1750
12685,1/1/2013 9:39,NFO,31-Jan-13,12686.75,12681.55,12685,1079750,Futures,CNXBAN,3100
12681,1/1/2013 9:40,NFO,31-Jan-13,12685,12681,12685,1081725,Futures,CNXBAN,850
12682,1/1/2013 9:41,NFO,31-Jan-13,12684,12680,12681,1081725,Futures,CNXBAN,3225
12675,1/1/2013 9:42,NFO,31-Jan-13,12682,12671,12682,1081725,Futures,CNXBAN,5650
12682,1/1/2013 9:43,NFO,31-Jan-13,12682,12674.35,12675,1081725,Futures,CNXBAN,2550
12684.2,1/1/2013 9:44,NFO,31-Jan-13,12684.2,12680,12682,1080875,Futures,CNXBAN,1525
12685,1/1/2013 9:45,NFO,31-Jan-13,12689,12683,12684,1080875,Futures,CNXBAN,4350
12688,1/1/2013 9:46,NFO,31-Jan-13,12688,12685.1,12687.95,1083050,Futures,CNXBAN,1125
12687,1/1/2013 9:47,NFO,31-Jan-13,12689,12684.9,12687,1083050,Futures,CNXBAN,3550
12685.1,1/1/2013 9:48,NFO,31-Jan-13,12689.85,12685,12686.1,1083050,Futures,CNXBAN,3075
12697,1/1/2013 9:49,NFO,31-Jan-13,12699,12685.15,12690,1089525,Futures,CNXBAN,11225
12696.55,1/1/2013 9:50,NFO,31-Jan-13,12700,12691.4,12697,1089525,Futures,CNXBAN,4825
12696,1/1/2013 9:51,NFO,31-Jan-13,12696.55,12692.5,12696.55,1089525,Futures,CNXBAN,3425
12699,1/1/2013 9:52,NFO,31-Jan-13,12701,12694.5,12696,1089525,Futures,CNXBAN,5975
12705.05,1/1/2013 9:53,NFO,31-Jan-13,12709.5,12696.3,12699,1094300,Futures,CNXBAN,12350
12699,1/1/2013 9:54,NFO,31-Jan-13,12709.5,12698.85,12705.05,1094300,Futures,CNXBAN,6050
12708,1/1/2013 9:55,NFO,31-Jan-13,12708.85,12699.4,12700,1104325,Futures,CNXBAN,5425
12707.95,1/1/2013 9:56,NFO,31-Jan-13,12710,12703,12708,1104325,Futures,CNXBAN,7625
12705,1/1/2013 9:57,NFO,31-Jan-13,12708,12704.5,12707.95,1104325,Futures,CNXBAN,3325
12706,1/1/2013 9:58,NFO,31-Jan-13,12706,12702.1,12704,1108900,Futures,CNXBAN,2125
12699,1/1/2013 9:59,NFO,31-Jan-13,12707,12698.15,12706.5,1108900,Futures,CNXBAN,3275
12698.9,1/1/2013 10:00,NFO,31-Jan-13,12699,12696.35,12699,1108900,Futures,CNXBAN,2700
12705,1/1/2013 10:01,NFO,31-Jan-13,12705,12696.35,12698.9,1108900,Futures,CNXBAN,4400
